index,value
1978 Dec,-0.36
1979 Jan,-0.33
1979 Feb,-0.27
1979 Mar,-0.26
1979 Apr,-0.28
1979 May,-0.27
1979 Jun,-0.26
1979 Jul,-0.18
1979 Aug,-0.28
1979 Sep,-0.16
1979 Oct,-0.01
1979 Nov,-0.13
1979 Dec,-0.08
1980 Jan,-0.08
1980 Feb,0.06
1980 Mar,-0.03
1980 Apr,0.03
1980 May,0.06
1980 Jun,0.09
1980 Jul,-0.04
1980 Aug,-0.03
1980 Sep,-0.01
1980 Oct,-0.16
1980 Nov,-0.14
1980 Dec,-0.25
1981 Jan,-0.08
1981 Feb,0.01
1981 Mar,-0.13
1981 Apr,-0.13
1981 May,-0.14
1981 Jun,-0.18
1981 Jul,-0.08
1981 Aug,-0.08
1981 Sep,-0.16
1981 Oct,-0.19
1981 Nov,-0.15
1981 Dec,-0.02
1982 Jan,-0.23
1982 Feb,-0.25
1982 Mar,-0.32
1982 Apr,-0.32
1982 May,-0.31
1982 Jun,-0.25
1982 Jul,-0.41
1982 Aug,-0.33
1982 Sep,-0.3
1982 Oct,-0.39
1982 Nov,-0.27
1982 Dec,-0.16
1983 Jan,0.01
1983 Feb,-0.17
1983 Mar,0.15
1983 Apr,0.08
1983 May,0.09
1983 Jun,-0.18
1983 Jul,-0
1983 Aug,0.03
1983 Sep,-0.01
1983 Oct,-0.1
1983 Nov,-0.08
1983 Dec,-0.31
1984 Jan,-0.36
1984 Feb,-0.23
1984 Mar,-0.14
1984 Apr,-0.25
1984 May,-0.11
1984 Jun,-0.21
1984 Jul,-0.29
1984 Aug,-0.21
1984 Sep,-0.5
1984 Oct,-0.07
1984 Nov,-0.21
1984 Dec,-0.26
1985 Jan,-0.3
1985 Feb,-0.48
1985 Mar,-0.46
1985 Apr,-0.31
1985 May,-0.32
1985 Jun,-0.35
1985 Jul,-0.51
1985 Aug,-0.26
1985 Sep,-0.37
1985 Oct,-0.43
1985 Nov,-0.28
1985 Dec,-0.26
1986 Jan,-0.15
1986 Feb,-0.37
1986 Mar,-0.28
1986 Apr,-0.16
1986 May,-0.13
1986 Jun,-0.18
1986 Jul,-0.24
1986 Aug,-0.25
1986 Sep,-0.3
1986 Oct,-0.3
1986 Nov,-0.15
1986 Dec,-0.11
1987 Jan,0.09
1987 Feb,0.08
1987 Mar,-0.21
1987 Apr,0.08
1987 May,-0.08
1987 Jun,0.17
1987 Jul,0.05
1987 Aug,-0.05
1987 Sep,-0.07
1987 Oct,0.09
1987 Nov,0.08
1987 Dec,0.37
1988 Jan,0.15
1988 Feb,-0.06
1988 Mar,0.16
1988 Apr,0.03
1988 May,0.09
1988 Jun,0.08
1988 Jul,0.16
1988 Aug,0.06
1988 Sep,0.2
1988 Oct,-0.05
1988 Nov,-0.13
1988 Dec,-0.21
1989 Jan,-0.4
1989 Feb,-0.27
1989 Mar,-0.31
1989 Apr,-0.2
1989 May,-0.31
1989 Jun,-0.27
1989 Jul,-0.18
1989 Aug,-0.17
1989 Sep,-0.04
1989 Oct,-0.12
1989 Nov,-0.17
1989 Dec,-0.06
1990 Jan,-0.1
1990 Feb,-0.2
1990 Mar,0.06
1990 Apr,-0.08
1990 May,0.08
1990 Jun,0.1
1990 Jul,0.02
1990 Aug,-0.05
1990 Sep,-0.11
1990 Oct,0.02
1990 Nov,0.25
1990 Dec,0.16
1991 Jan,0.03
1991 Feb,0.08
1991 Mar,0.23
1991 Apr,-0.01
1991 May,0.12
1991 Jun,0.31
1991 Jul,0.14
1991 Aug,0.15
1991 Sep,-0.05
1991 Oct,-0.21
1991 Nov,-0.27
1991 Dec,-0.28
1992 Jan,-0.19
